":ID","managerName","managerCik:long",":LABEL"
"2125","ALLIANCEBERNSTEIN L.P.","1109448","AssetManager"
"2126","AMERIPRISE FINANCIAL INC","820027","AssetManager"
"2127","AMUNDI","1330387","AssetManager"
"2132","BANK OF AMERICA CORP /DE/","70858","AssetManager"
"2134","Bank of New York Mellon Corp","1390777","AssetManager"
"2135","Berkshire Hathaway Inc","1067983","AssetManager"
"2137","BlackRock Inc.","1364742","AssetManager"
"2138","Capital World Investors","1422849","AssetManager"
"2139","FMR LLC","315066","AssetManager"
"2140","GEODE CAPITAL MANAGEMENT, LLC","1214717","AssetManager"
"2141","MORGAN STANLEY","895421","AssetManager"
"2146","NORTHERN TRUST CORP","73124","AssetManager"
"2147","STATE STREET CORP","93751","AssetManager"
"2148","WELLINGTON MANAGEMENT GROUP LLP","902219","AssetManager"
"2149","WELLS FARGO & COMPANY/MN","72971","AssetManager"
