":ID","id","name","chunk_index:long",":LABEL"
"29","8ceed2de-a7c0-4c7e-8050-db2e5614ba51:1","iPhone","0","__KGBuilder__;__Entity__;Product"
"30","8ceed2de-a7c0-4c7e-8050-db2e5614ba51:2","Mac","0","__KGBuilder__;__Entity__;Product"
"31","8ceed2de-a7c0-4c7e-8050-db2e5614ba51:3","iPad","0","__KGBuilder__;__Entity__;Product"
"32","8ceed2de-a7c0-4c7e-8050-db2e5614ba51:4","Wearables, Home and Accessories","0","__KGBuilder__;__Entity__;Product"
"33","8ceed2de-a7c0-4c7e-8050-db2e5614ba51:5","AppleCare","0","__KGBuilder__;__Entity__;Product"
"34","8ceed2de-a7c0-4c7e-8050-db2e5614ba51:6","Cloud Services","0","__KGBuilder__;__Entity__;Product"
"35","8ceed2de-a7c0-4c7e-8050-db2e5614ba51:7","Digital Content","0","__KGBuilder__;__Entity__;Product"
"36","8ceed2de-a7c0-4c7e-8050-db2e5614ba51:8","Payment Services","0","__KGBuilder__;__Entity__;Product"
"77","d2200110-5554-4165-8519-151346712339:6","smartphone","6","__KGBuilder__;__Entity__;Product"
"78","d2200110-5554-4165-8519-151346712339:7","personal computer","6","__KGBuilder__;__Entity__;Product"
"79","d2200110-5554-4165-8519-151346712339:8","tablet","6","__KGBuilder__;__Entity__;Product"
"111","52ab5bcf-1120-4090-a905-fa5ff3143c5f:7","App Store","11","__KGBuilder__;__Entity__;Product"
"164","31a8e016-6023-4b00-875c-c7fe560526d1:7","iPad Pro","22","__KGBuilder__;__Entity__;Product"
"165","31a8e016-6023-4b00-875c-c7fe560526d1:8","Next-generation Apple TV 4K","22","__KGBuilder__;__Entity__;Product"
"166","31a8e016-6023-4b00-875c-c7fe560526d1:9","MLS Season Pass","22","__KGBuilder__;__Entity__;Product"
"167","31a8e016-6023-4b00-875c-c7fe560526d1:10","MacBook Pro 14""","22","__KGBuilder__;__Entity__;Product"
"168","31a8e016-6023-4b00-875c-c7fe560526d1:11","MacBook Pro 16""","22","__KGBuilder__;__Entity__;Product"
"169","31a8e016-6023-4b00-875c-c7fe560526d1:12","Mac mini","22","__KGBuilder__;__Entity__;Product"
"170","31a8e016-6023-4b00-875c-c7fe560526d1:13","Second-generation HomePod","22","__KGBuilder__;__Entity__;Product"
"171","31a8e016-6023-4b00-875c-c7fe560526d1:14","MacBook Air 15""","22","__KGBuilder__;__Entity__;Product"
"172","31a8e016-6023-4b00-875c-c7fe560526d1:15","Mac Studio","22","__KGBuilder__;__Entity__;Product"
"173","31a8e016-6023-4b00-875c-c7fe560526d1:16","Mac Pro","22","__KGBuilder__;__Entity__;Product"
"174","31a8e016-6023-4b00-875c-c7fe560526d1:17","Apple Vision Pro(TM)","22","__KGBuilder__;__Entity__;Product"
"175","31a8e016-6023-4b00-875c-c7fe560526d1:18","iOS 17","22","__KGBuilder__;__Entity__;Product"
"176","31a8e016-6023-4b00-875c-c7fe560526d1:19","macOS Sonoma","22","__KGBuilder__;__Entity__;Product"
"177","31a8e016-6023-4b00-875c-c7fe560526d1:20","iPadOS 17","22","__KGBuilder__;__Entity__;Product"
"178","31a8e016-6023-4b00-875c-c7fe560526d1:21","tvOS 17","22","__KGBuilder__;__Entity__;Product"
"179","31a8e016-6023-4b00-875c-c7fe560526d1:22","watchOS 10","22","__KGBuilder__;__Entity__;Product"
"180","31a8e016-6023-4b00-875c-c7fe560526d1:23","iPhone 15","22","__KGBuilder__;__Entity__;Product"
"181","31a8e016-6023-4b00-875c-c7fe560526d1:24","iPhone 15 Plus","22","__KGBuilder__;__Entity__;Product"
"182","31a8e016-6023-4b00-875c-c7fe560526d1:25","iPhone 15 Pro","22","__KGBuilder__;__Entity__;Product"
"183","31a8e016-6023-4b00-875c-c7fe560526d1:26","iPhone 15 Pro Max","22","__KGBuilder__;__Entity__;Product"
"184","31a8e016-6023-4b00-875c-c7fe560526d1:27","Apple Watch Series 9","22","__KGBuilder__;__Entity__;Product"
"185","31a8e016-6023-4b00-875c-c7fe560526d1:28","Apple Watch Ultra 2","22","__KGBuilder__;__Entity__;Product"
"198","b4f5b7eb-1b56-4473-8406-31fdad837de8:5","Services","23","__KGBuilder__;__Entity__;Product"
"272","c3ee19e2-1a85-451f-8517-7c091bf62fd8:1","Microsoft Cloud","0","__KGBuilder__;__Entity__;Product"
"273","c3ee19e2-1a85-451f-8517-7c091bf62fd8:2","Microsoft Teams","0","__KGBuilder__;__Entity__;Product"
"274","c3ee19e2-1a85-451f-8517-7c091bf62fd8:3","Office 365","0","__KGBuilder__;__Entity__;Product"
"275","c3ee19e2-1a85-451f-8517-7c091bf62fd8:4","Dynamics 365","0","__KGBuilder__;__Entity__;Product"
"276","c3ee19e2-1a85-451f-8517-7c091bf62fd8:5","LinkedIn","0","__KGBuilder__;__Entity__;Product"
"277","c3ee19e2-1a85-451f-8517-7c091bf62fd8:6","Microsoft 365","0","__KGBuilder__;__Entity__;Product"
"278","c3ee19e2-1a85-451f-8517-7c091bf62fd8:7","Microsoft Viva","0","__KGBuilder__;__Entity__;Product"
"279","c3ee19e2-1a85-451f-8517-7c091bf62fd8:8","Microsoft 365 Copilot","0","__KGBuilder__;__Entity__;Product"
"282","614b437b-a3ba-42ca-88ad-3e70a85a19a1:1","Microsoft Mesh","2","__KGBuilder__;__Entity__;Product"
"283","614b437b-a3ba-42ca-88ad-3e70a85a19a1:2","Microsoft Intelligent Data Platform","2","__KGBuilder__;__Entity__;Product"
"284","614b437b-a3ba-42ca-88ad-3e70a85a19a1:3","Microsoft Fabric","2","__KGBuilder__;__Entity__;Product"
"285","614b437b-a3ba-42ca-88ad-3e70a85a19a1:4","GitHub Copilot","2","__KGBuilder__;__Entity__;Product"
"286","614b437b-a3ba-42ca-88ad-3e70a85a19a1:5","Visual Studio","2","__KGBuilder__;__Entity__;Product"
"287","614b437b-a3ba-42ca-88ad-3e70a85a19a1:6","Windows 365","2","__KGBuilder__;__Entity__;Product"
"288","614b437b-a3ba-42ca-88ad-3e70a85a19a1:7","Azure Orbital","2","__KGBuilder__;__Entity__;Product"
"289","614b437b-a3ba-42ca-88ad-3e70a85a19a1:8","Windows 11","2","__KGBuilder__;__Entity__;Product"
"290","614b437b-a3ba-42ca-88ad-3e70a85a19a1:9","Microsoft Edge","2","__KGBuilder__;__Entity__;Product"
"291","614b437b-a3ba-42ca-88ad-3e70a85a19a1:10","Bing","2","__KGBuilder__;__Entity__;Product"
"292","614b437b-a3ba-42ca-88ad-3e70a85a19a1:11","Bing Chat","2","__KGBuilder__;__Entity__;Product"
"293","614b437b-a3ba-42ca-88ad-3e70a85a19a1:12","Surface Pro","2","__KGBuilder__;__Entity__;Product"
"294","614b437b-a3ba-42ca-88ad-3e70a85a19a1:13","Surface Laptop","2","__KGBuilder__;__Entity__;Product"
"295","614b437b-a3ba-42ca-88ad-3e70a85a19a1:14","Xbox Game Pass","2","__KGBuilder__;__Entity__;Product"
"300","bf054a7a-6570-4731-a70a-0784e78b5f8f:1","Windows","3","__KGBuilder__;__Entity__;Product"
"301","bf054a7a-6570-4731-a70a-0784e78b5f8f:2","Microsoft 365 Consumer","3","__KGBuilder__;__Entity__;Product"
"311","bf054a7a-6570-4731-a70a-0784e78b5f8f:12","Microsoft Cloud for Sustainability","3","__KGBuilder__;__Entity__;Product"
"312","bf054a7a-6570-4731-a70a-0784e78b5f8f:13","Microsoft Sustainability Manager","3","__KGBuilder__;__Entity__;Product"
"318","90e6d4bd-0252-4cca-aab0-fcc36d69a4dc:3","TEALS program","4","__KGBuilder__;__Entity__;Product"
"323","90e6d4bd-0252-4cca-aab0-fcc36d69a4dc:8","Skills for Jobs initiative","4","__KGBuilder__;__Entity__;Product"
"324","90e6d4bd-0252-4cca-aab0-fcc36d69a4dc:9","cyber skills initiative","4","__KGBuilder__;__Entity__;Product"
"327","6ce7de68-b29e-4d22-9e1f-17e715f674c2:1","AI Skills Initiative","5","__KGBuilder__;__Entity__;Product"
"328","6ce7de68-b29e-4d22-9e1f-17e715f674c2:2","LinkedIn learning pathway","5","__KGBuilder__;__Entity__;Product"
"336","7a3ece0b-1970-405e-b516-dea660e133fe:1","Viva Learning","7","__KGBuilder__;__Entity__;Product"
"337","7a3ece0b-1970-405e-b516-dea660e133fe:2","Productivity and Business Processes","7","__KGBuilder__;__Entity__;Product"
"338","7a3ece0b-1970-405e-b516-dea660e133fe:3","Intelligent Cloud","7","__KGBuilder__;__Entity__;Product"
"339","7a3ece0b-1970-405e-b516-dea660e133fe:4","More Personal Computing","7","__KGBuilder__;__Entity__;Product"
"340","7a3ece0b-1970-405e-b516-dea660e133fe:5","Office Commercial","7","__KGBuilder__;__Entity__;Product"
"345","7a3ece0b-1970-405e-b516-dea660e133fe:10","Office Consumer","7","__KGBuilder__;__Entity__;Product"
"347","63f0ebae-55a2-4ea5-bfe6-e22848cc1088:1","Office","8","__KGBuilder__;__Entity__;Product"
"349","63f0ebae-55a2-4ea5-bfe6-e22848cc1088:3","Skype","8","__KGBuilder__;__Entity__;Product"
"350","63f0ebae-55a2-4ea5-bfe6-e22848cc1088:4","Outlook.com","8","__KGBuilder__;__Entity__;Product"
"351","63f0ebae-55a2-4ea5-bfe6-e22848cc1088:5","OneDrive","8","__KGBuilder__;__Entity__;Product"
"353","63f0ebae-55a2-4ea5-bfe6-e22848cc1088:7","LinkedIn Talent Solutions","8","__KGBuilder__;__Entity__;Product"
"354","63f0ebae-55a2-4ea5-bfe6-e22848cc1088:8","LinkedIn Marketing Solutions","8","__KGBuilder__;__Entity__;Product"
"355","63f0ebae-55a2-4ea5-bfe6-e22848cc1088:9","LinkedIn Premium Subscriptions","8","__KGBuilder__;__Entity__;Product"
"356","63f0ebae-55a2-4ea5-bfe6-e22848cc1088:10","LinkedIn Sales Solutions","8","__KGBuilder__;__Entity__;Product"
"357","63f0ebae-55a2-4ea5-bfe6-e22848cc1088:11","Dynamics","8","__KGBuilder__;__Entity__;Product"
"360","451ba433-1660-4420-81eb-718be346c67f:1","Azure","9","__KGBuilder__;__Entity__;Product"
"361","451ba433-1660-4420-81eb-718be346c67f:2","SQL Server","9","__KGBuilder__;__Entity__;Product"
"362","451ba433-1660-4420-81eb-718be346c67f:3","Windows Server","9","__KGBuilder__;__Entity__;Product"
"364","451ba433-1660-4420-81eb-718be346c67f:5","System Center","9","__KGBuilder__;__Entity__;Product"
"365","451ba433-1660-4420-81eb-718be346c67f:6","Nuance","9","__KGBuilder__;__Entity__;Product"
"366","451ba433-1660-4420-81eb-718be346c67f:7","GitHub","9","__KGBuilder__;__Entity__;Product"
"367","451ba433-1660-4420-81eb-718be346c67f:8","AI Offerings","9","__KGBuilder__;__Entity__;Product"
"368","451ba433-1660-4420-81eb-718be346c67f:9","Enterprise Mobility + Security","9","__KGBuilder__;__Entity__;Product"
"369","451ba433-1660-4420-81eb-718be346c67f:10","Server Products","9","__KGBuilder__;__Entity__;Product"
"370","451ba433-1660-4420-81eb-718be346c67f:11","Enterprise Services","9","__KGBuilder__;__Entity__;Product"
"376","6d16c9a0-7916-4a29-9bfd-376f6ae86ec1:2","Windows OEM","11","__KGBuilder__;__Entity__;Product"
"377","6d16c9a0-7916-4a29-9bfd-376f6ae86ec1:3","Windows Commercial","11","__KGBuilder__;__Entity__;Product"
"378","6d16c9a0-7916-4a29-9bfd-376f6ae86ec1:4","Windows IoT","11","__KGBuilder__;__Entity__;Product"
"379","6d16c9a0-7916-4a29-9bfd-376f6ae86ec1:5","Surface","11","__KGBuilder__;__Entity__;Product"
"380","6d16c9a0-7916-4a29-9bfd-376f6ae86ec1:6","HoloLens","11","__KGBuilder__;__Entity__;Product"
"381","6d16c9a0-7916-4a29-9bfd-376f6ae86ec1:7","PC accessories","11","__KGBuilder__;__Entity__;Product"
"385","19cbfde7-430c-42b1-a335-d97c0b274843:2","Xbox","12","__KGBuilder__;__Entity__;Product"
"393","6b35902b-d634-447a-b7e6-eb60c94eb120:3","Azure AI platform","13","__KGBuilder__;__Entity__;Product"
"399","6b35902b-d634-447a-b7e6-eb60c94eb120:9","Surface line of devices","13","__KGBuilder__;__Entity__;Product"
"436","f0b104a7-4d57-4a4f-af2a-06065f9658ba:7","Azure AI","21","__KGBuilder__;__Entity__;Product"
"437","f0b104a7-4d57-4a4f-af2a-06065f9658ba:8","Azure IoT Edge","21","__KGBuilder__;__Entity__;Product"
"439","4cba6e5e-0310-49db-8f6f-3524edcae6ef:1","Windows operating system","22","__KGBuilder__;__Entity__;Product"
"480","048daa53-5cf8-4eb7-9e7d-f9301a3ec2aa:8","Microsoft Advertising","26","__KGBuilder__;__Entity__;Product"
"481","048daa53-5cf8-4eb7-9e7d-f9301a3ec2aa:9","Microsoft News","26","__KGBuilder__;__Entity__;Product"
