":ID","id","name","chunk_index:long",":LABEL"
"37","8ceed2de-a7c0-4c7e-8050-db2e5614ba51:9","Geography","0","__KGBuilder__;__Entity__;RiskFactor"
"40","a2679412-c7b0-48ee-931a-e993fb48c471:1","Aggressive price competition","1","__KGBuilder__;__Entity__;RiskFactor"
"41","a2679412-c7b0-48ee-931a-e993fb48c471:2","Frequent introduction of new products","1","__KGBuilder__;__Entity__;RiskFactor"
"42","a2679412-c7b0-48ee-931a-e993fb48c471:3","Short product life cycles","1","__KGBuilder__;__Entity__;RiskFactor"
"43","a2679412-c7b0-48ee-931a-e993fb48c471:4","Evolving industry standards","1","__KGBuilder__;__Entity__;RiskFactor"
"44","a2679412-c7b0-48ee-931a-e993fb48c471:5","Commodity pricing fluctuations","1","__KGBuilder__;__Entity__;RiskFactor"
"46","aec48e0c-b569-42c8-bc20-d584a11a61f6:1","Industry-wide shortage and significant commodity pricing fluctuations","2","__KGBuilder__;__Entity__;RiskFactor"
"47","aec48e0c-b569-42c8-bc20-d584a11a61f6:2","Initial capacity constraints when new technologies are used","2","__KGBuilder__;__Entity__;RiskFactor"
"48","aec48e0c-b569-42c8-bc20-d584a11a61f6:3","Availability of components at acceptable prices","2","__KGBuilder__;__Entity__;RiskFactor"
"49","aec48e0c-b569-42c8-bc20-d584a11a61f6:4","Ability to extend or renew component supply agreements","2","__KGBuilder__;__Entity__;RiskFactor"
"50","aec48e0c-b569-42c8-bc20-d584a11a61f6:5","Rapid technological advances in industry","2","__KGBuilder__;__Entity__;RiskFactor"
"51","aec48e0c-b569-42c8-bc20-d584a11a61f6:6","Need to seek or renew licenses for third-party intellectual property","2","__KGBuilder__;__Entity__;RiskFactor"
"55","8c24316b-a4f3-44f4-b755-5b9fb0f127e7:1","Potential workplace risks","3","__KGBuilder__;__Entity__;RiskFactor"
"56","8c24316b-a4f3-44f4-b755-5b9fb0f127e7:2","General safety, security, and crisis management hazards","3","__KGBuilder__;__Entity__;RiskFactor"
"57","8c24316b-a4f3-44f4-b755-5b9fb0f127e7:3","Risks in potentially high-hazard environments","3","__KGBuilder__;__Entity__;RiskFactor"
