":ID","id","name","chunk_index:long",":LABEL"
"296","614b437b-a3ba-42ca-88ad-3e70a85a19a1:15","acquire Activision Blizzard, Inc.","2","__KGBuilder__;__Entity__;Transaction"
"452","4cba6e5e-0310-49db-8f6f-3524edcae6ef:14","Acquisition of ZeniMax Media Inc.","22","__KGBuilder__;__Entity__;Transaction"
"453","4cba6e5e-0310-49db-8f6f-3524edcae6ef:15","Acquisition of Nuance Communications, Inc.","22","__KGBuilder__;__Entity__;Transaction"
"454","4cba6e5e-0310-49db-8f6f-3524edcae6ef:16","Definitive agreement to acquire Activision Blizzard, Inc.","22","__KGBuilder__;__Entity__;Transaction"
"455","4cba6e5e-0310-49db-8f6f-3524edcae6ef:17","OpenAI strategic partnership","22","__KGBuilder__;__Entity__;Transaction"
"608","c221872c-3154-4864-a54d-f94eb9797669:12","Enterprise Agreements","42","__KGBuilder__;__Entity__;Transaction"
"640","3d7fafe9-ddc3-4d9b-8116-2619c799ccb8:7","contracts for battery energy storage","2","__KGBuilder__;__Entity__;Transaction"
"641","3d7fafe9-ddc3-4d9b-8116-2619c799ccb8:8","charging ports installation","2","__KGBuilder__;__Entity__;Transaction"
"643","3d7fafe9-ddc3-4d9b-8116-2619c799ccb8:9","interconnected private solar customers","2","__KGBuilder__;__Entity__;Transaction"
"644","3d7fafe9-ddc3-4d9b-8116-2619c799ccb8:10","battery storage installations","2","__KGBuilder__;__Entity__;Transaction"
"652","d359c15a-b09e-441f-9ac2-ff1fe5925f83:2","Acquisition of Activision Blizzard","56","__KGBuilder__;__Entity__;Transaction"
"663","c706329e-3a58-4b84-b359-0ed286905eb9:3","post-emergence transaction","3","__KGBuilder__;__Entity__;Transaction"
"664","c706329e-3a58-4b84-b359-0ed286905eb9:4","Series 2022-A Recovery Bonds issuance","3","__KGBuilder__;__Entity__;Transaction"
"666","c706329e-3a58-4b84-b359-0ed286905eb9:5","Series 2022-B Recovery Bonds issuance","3","__KGBuilder__;__Entity__;Transaction"
"670","c706329e-3a58-4b84-b359-0ed286905eb9:6","redemption of Utility debt","3","__KGBuilder__;__Entity__;Transaction"
"698","c706329e-3a58-4b84-b359-0ed286905eb9:12","dividend suspension","3","__KGBuilder__;__Entity__;Transaction"
"701","c706329e-3a58-4b84-b359-0ed286905eb9:13","dividend reinstatement","3","__KGBuilder__;__Entity__;Transaction"
"965","82b733e6-1caf-490f-b059-1b532ce028af:4","issue shares with respect to HoldCo Rescission or Damage Claims","46","__KGBuilder__;__Entity__;Transaction"
"967","82b733e6-1caf-490f-b059-1b532ce028af:6","issued shares to the Fire Victim Trust","46","__KGBuilder__;__Entity__;Transaction"
"1026","c4fd5c7c-e7de-4fc2-9573-9d908fac048a:4","sale of common stock","58","__KGBuilder__;__Entity__;Transaction"
"1087","703f74b0-e16c-40a7-93e7-61a907f56342:1","equity securities issuance","66","__KGBuilder__;__Entity__;Transaction"
"1094","703f74b0-e16c-40a7-93e7-61a907f56342:8","mortgage bonds issuance","66","__KGBuilder__;__Entity__;Transaction"
"1154","8f668f5c-8684-43ef-bfee-767bab49b101:14","application regarding separation of non-nuclear generation assets","71","__KGBuilder__;__Entity__;Transaction"
"1155","8f668f5c-8684-43ef-bfee-767bab49b101:15","loan agreement with the DWR for up to $1.4 billion","71","__KGBuilder__;__Entity__;Transaction"
"1156","8f668f5c-8684-43ef-bfee-767bab49b101:16","conditional selection to receive funding of up to $1.1 billion from the Civil Nuclear Credit Program","71","__KGBuilder__;__Entity__;Transaction"
"1234","73413c3d-0649-4764-8924-2c28d5785fb3:2","Post-Emergence SB 901 Securitization Transaction","82","__KGBuilder__;__Entity__;Transaction"
"1241","d3ebbeac-bc80-4e3d-ad73-754677e3aa0f:3","securitization","83","__KGBuilder__;__Entity__;Transaction"
"1242","d3ebbeac-bc80-4e3d-ad73-754677e3aa0f:4","recovery bonds","83","__KGBuilder__;__Entity__;Transaction"
