":START_ID",":END_ID",":TYPE"
"28","29","MENTIONS"
"28","30","MENTIONS"
"28","31","MENTIONS"
"28","32","MENTIONS"
"28","111","MENTIONS"
"28","112","MENTIONS"
"28","164","MENTIONS"
"28","165","MENTIONS"
"28","166","MENTIONS"
"28","167","MENTIONS"
"28","168","MENTIONS"
"28","169","MENTIONS"
"28","170","MENTIONS"
"28","171","MENTIONS"
"28","172","MENTIONS"
"28","173","MENTIONS"
"28","174","MENTIONS"
"28","175","MENTIONS"
"28","176","MENTIONS"
"28","177","MENTIONS"
"28","178","MENTIONS"
"28","179","MENTIONS"
"28","180","MENTIONS"
"28","181","MENTIONS"
"28","182","MENTIONS"
"28","183","MENTIONS"
"28","184","MENTIONS"
"28","185","MENTIONS"
"28","198","MENTIONS"
"28","2136","MENTIONS"
"29","28","MENTIONS"
"30","28","MENTIONS"
"31","28","MENTIONS"
"32","28","MENTIONS"
"33","28","MENTIONS"
"34","28","MENTIONS"
"35","28","MENTIONS"
"36","28","MENTIONS"
"199","200","MENTIONS"
"199","201","MENTIONS"
"199","202","MENTIONS"
"271","28","MENTIONS"
"271","272","MENTIONS"
"271","273","MENTIONS"
"271","274","MENTIONS"
"271","275","MENTIONS"
"271","276","MENTIONS"
"271","277","MENTIONS"
"271","278","MENTIONS"
"271","279","MENTIONS"
"271","282","MENTIONS"
"271","283","MENTIONS"
"271","284","MENTIONS"
"271","285","MENTIONS"
"271","286","MENTIONS"
"271","287","MENTIONS"
"271","288","MENTIONS"
"271","289","MENTIONS"
"271","290","MENTIONS"
"271","291","MENTIONS"
"271","292","MENTIONS"
"271","293","MENTIONS"
"271","294","MENTIONS"
"271","295","MENTIONS"
"271","296","MENTIONS"
"271","298","MENTIONS"
"271","300","MENTIONS"
"271","301","MENTIONS"
"271","318","MENTIONS"
"271","323","MENTIONS"
"271","324","MENTIONS"
"271","327","MENTIONS"
"271","328","MENTIONS"
"271","336","MENTIONS"
"271","337","MENTIONS"
"271","338","MENTIONS"
"271","339","MENTIONS"
"271","340","MENTIONS"
"271","345","MENTIONS"
"271","347","MENTIONS"
"271","349","MENTIONS"
"271","350","MENTIONS"
"271","351","MENTIONS"
"271","353","MENTIONS"
"271","354","MENTIONS"
"271","355","MENTIONS"
"271","356","MENTIONS"
"271","357","MENTIONS"
"271","360","MENTIONS"
"271","361","MENTIONS"
"271","362","MENTIONS"
"271","364","MENTIONS"
"271","365","MENTIONS"
"271","366","MENTIONS"
"271","367","MENTIONS"
"271","368","MENTIONS"
"271","369","MENTIONS"
"271","370","MENTIONS"
"271","372","MENTIONS"
"271","376","MENTIONS"
"271","377","MENTIONS"
"271","378","MENTIONS"
"271","379","MENTIONS"
"271","380","MENTIONS"
"271","381","MENTIONS"
"271","385","MENTIONS"
"271","393","MENTIONS"
"271","399","MENTIONS"
"271","417","MENTIONS"
"271","436","MENTIONS"
"271","437","MENTIONS"
"271","439","MENTIONS"
"271","452","MENTIONS"
"271","453","MENTIONS"
"271","454","MENTIONS"
"271","455","MENTIONS"
"271","480","MENTIONS"
"271","481","MENTIONS"
"271","482","MENTIONS"
"271","489","MENTIONS"
"271","490","MENTIONS"
"271","499","MENTIONS"
"271","504","MENTIONS"
"271","601","MENTIONS"
"271","608","MENTIONS"
"271","635","MENTIONS"
"271","636","MENTIONS"
"271","652","MENTIONS"
"271","708","MENTIONS"
"271","709","MENTIONS"
"271","710","MENTIONS"
"271","715","MENTIONS"
"296","201","MENTIONS"
"300","528","MENTIONS"
"372","821","MENTIONS"
"372","824","MENTIONS"
"372","825","MENTIONS"
"372","826","MENTIONS"
"372","827","MENTIONS"
"372","835","MENTIONS"
"372","836","MENTIONS"
"372","838","MENTIONS"
"372","1340","MENTIONS"
"372","1382","MENTIONS"
"372","1383","MENTIONS"
"372","1386","MENTIONS"
"372","1388","MENTIONS"
"372","1433","MENTIONS"
"372","1434","MENTIONS"
"417","2143","MENTIONS"
"417","2144","MENTIONS"
"417","2145","MENTIONS"
"452","649","MENTIONS"
"453","648","MENTIONS"
"560","688","MENTIONS"
"560","699","MENTIONS"
"560","700","MENTIONS"
"562","201","MENTIONS"
"562","202","MENTIONS"
"563","201","MENTIONS"
"563","202","MENTIONS"
"589","595","MENTIONS"
"590","595","MENTIONS"
"593","200","MENTIONS"
"593","201","MENTIONS"
"593","693","MENTIONS"
"593","716","MENTIONS"
"593","812","MENTIONS"
"593","813","MENTIONS"
"593","814","MENTIONS"
"593","828","MENTIONS"
"593","829","MENTIONS"
"593","830","MENTIONS"
"593","831","MENTIONS"
"593","832","MENTIONS"
"593","833","MENTIONS"
"593","834","MENTIONS"
"593","980","MENTIONS"
"593","1015","MENTIONS"
"593","1026","MENTIONS"
"593","1111","MENTIONS"
"593","1112","MENTIONS"
"593","1113","MENTIONS"
"593","1114","MENTIONS"
"593","1116","MENTIONS"
"593","1117","MENTIONS"
"593","1119","MENTIONS"
"593","1120","MENTIONS"
"593","1121","MENTIONS"
"593","1122","MENTIONS"
"593","1154","MENTIONS"
"593","1155","MENTIONS"
"593","1156","MENTIONS"
"593","1230","MENTIONS"
"593","1231","MENTIONS"
"593","1234","MENTIONS"
"593","1241","MENTIONS"
"593","1242","MENTIONS"
"593","1244","MENTIONS"
"593","1255","MENTIONS"
"593","1274","MENTIONS"
"638","635","MENTIONS"
"638","636","MENTIONS"
"639","635","MENTIONS"
"639","636","MENTIONS"
"642","635","MENTIONS"
"642","636","MENTIONS"
"651","652","MENTIONS"
"663","679","MENTIONS"
"664","686","MENTIONS"
"666","691","MENTIONS"
"670","677","MENTIONS"
"671","595","MENTIONS"
"671","678","MENTIONS"
"672","595","MENTIONS"
"672","678","MENTIONS"
"673","595","MENTIONS"
"673","678","MENTIONS"
"674","595","MENTIONS"
"675","595","MENTIONS"
"676","595","MENTIONS"
"698","693","MENTIONS"
"701","711","MENTIONS"
"701","716","MENTIONS"
"717","201","MENTIONS"
"718","688","MENTIONS"
"718","699","MENTIONS"
"718","700","MENTIONS"
"791","792","MENTIONS"
"793","794","MENTIONS"
"973","271","MENTIONS"
"973","372","MENTIONS"
"973","417","MENTIONS"
"973","595","MENTIONS"
"973","708","MENTIONS"
"973","709","MENTIONS"
"973","1003","MENTIONS"
"973","1018","MENTIONS"
"973","1445","MENTIONS"
"973","1446","MENTIONS"
"973","1447","MENTIONS"
"973","1448","MENTIONS"
"973","1450","MENTIONS"
"973","1451","MENTIONS"
"973","1452","MENTIONS"
"973","1453","MENTIONS"
"973","1457","MENTIONS"
"973","1458","MENTIONS"
"973","1459","MENTIONS"
"973","1460","MENTIONS"
"973","1461","MENTIONS"
"973","1462","MENTIONS"
"973","1463","MENTIONS"
"973","1464","MENTIONS"
"973","1465","MENTIONS"
"973","1466","MENTIONS"
"973","1470","MENTIONS"
"973","1471","MENTIONS"
"973","1472","MENTIONS"
"973","1473","MENTIONS"
"973","1474","MENTIONS"
"973","1475","MENTIONS"
"973","1476","MENTIONS"
"973","1477","MENTIONS"
"973","1478","MENTIONS"
"973","1479","MENTIONS"
"973","1480","MENTIONS"
"973","1481","MENTIONS"
"973","1482","MENTIONS"
"973","1483","MENTIONS"
"973","1484","MENTIONS"
"973","1485","MENTIONS"
"973","1487","MENTIONS"
"973","1488","MENTIONS"
"973","1489","MENTIONS"
"973","1492","MENTIONS"
"973","1493","MENTIONS"
"973","1494","MENTIONS"
"973","1495","MENTIONS"
"973","1496","MENTIONS"
"973","1497","MENTIONS"
"973","1498","MENTIONS"
"973","1499","MENTIONS"
"973","1507","MENTIONS"
"973","1509","MENTIONS"
"973","1510","MENTIONS"
"973","1511","MENTIONS"
"973","1512","MENTIONS"
"973","1515","MENTIONS"
"973","1516","MENTIONS"
"973","1518","MENTIONS"
"973","1521","MENTIONS"
"973","1523","MENTIONS"
"973","1546","MENTIONS"
"973","1547","MENTIONS"
"973","1548","MENTIONS"
"973","1549","MENTIONS"
"973","1550","MENTIONS"
"973","1584","MENTIONS"
"973","1590","MENTIONS"
"973","1607","MENTIONS"
"973","1608","MENTIONS"
"973","1690","MENTIONS"
"973","1693","MENTIONS"
"973","1752","MENTIONS"
"973","1753","MENTIONS"
"973","1754","MENTIONS"
"973","1755","MENTIONS"
"973","1756","MENTIONS"
"973","1757","MENTIONS"
"973","1758","MENTIONS"
"973","1778","MENTIONS"
"973","1779","MENTIONS"
"973","1812","MENTIONS"
"973","1817","MENTIONS"
"1061","201","MENTIONS"
"1061","202","MENTIONS"
"1062","201","MENTIONS"
"1062","202","MENTIONS"
"1063","201","MENTIONS"
"1063","202","MENTIONS"
"1064","201","MENTIONS"
"1064","202","MENTIONS"
"1177","1182","MENTIONS"
"1178","1183","MENTIONS"
"1178","1185","MENTIONS"
"1179","1184","MENTIONS"
"1179","1186","MENTIONS"
"1180","201","MENTIONS"
"1180","1015","MENTIONS"
"1181","200","MENTIONS"
"1208","200","MENTIONS"
"1408","201","MENTIONS"
"1408","202","MENTIONS"
"1409","201","MENTIONS"
"1409","202","MENTIONS"
"1410","201","MENTIONS"
"1410","202","MENTIONS"
"1411","201","MENTIONS"
"1411","202","MENTIONS"
"1412","201","MENTIONS"
"1412","202","MENTIONS"
"1414","201","MENTIONS"
"1414","202","MENTIONS"
"1429","201","MENTIONS"
"1429","202","MENTIONS"
"1437","980","MENTIONS"
"1440","980","MENTIONS"
"1489","1501","MENTIONS"
"1504","1505","MENTIONS"
"1660","708","MENTIONS"
"1662","1452","MENTIONS"
"1733","1736","MENTIONS"
"1733","1737","MENTIONS"
"1733","1738","MENTIONS"
"1733","1781","MENTIONS"
"1733","1787","MENTIONS"
"1733","1788","MENTIONS"
"1733","1789","MENTIONS"
"1733","1791","MENTIONS"
"1733","1795","MENTIONS"
"1733","1797","MENTIONS"
"1733","1801","MENTIONS"
"1733","1802","MENTIONS"
"1733","1807","MENTIONS"
"1733","1808","MENTIONS"
"1733","1810","MENTIONS"
"1733","1842","MENTIONS"
"1733","1850","MENTIONS"
"1733","1918","MENTIONS"
"1733","1919","MENTIONS"
"1733","1939","MENTIONS"
"1733","2036","MENTIONS"
"1733","2118","MENTIONS"
"1775","201","MENTIONS"
"1775","202","MENTIONS"
"2003","201","MENTIONS"
"2003","202","MENTIONS"
