":START_ID",":END_ID",":TYPE","position_status","Value:double","shares:long","share_value:double"
"2125","28","OWNS","current","4.82E9","28143032","171.2679714"
"2125","271","OWNS","current","1.47E10","46541943","315.8441408"
"2125","372","OWNS","current","6.36E9","50065439","127.0337408"
"2125","417","OWNS","current","2.04E8","5735993","35.56489696"
"2125","593","OWNS","current","3.9362652E7","2440338","16.13000002"
"2125","973","OWNS","current","5.53E9","12702751","435.3387703"
"2125","1456","OWNS","current","3.17E8","1201960","263.735898"
"2125","2123","OWNS","current","3.62E8","6196565","58.41946304"
"2126","28","OWNS","current","8.33E9","48680802","171.114683"
"2126","271","OWNS","current","1.1E10","34839303","315.7353636"
"2126","372","OWNS","current","4.61E9","36280034","127.0671356"
"2126","417","OWNS","current","1.8E8","5279131","34.09652081"
"2126","593","OWNS","current","4.9E8","30388648","16.12444226"
"2126","973","OWNS","current","4.25E9","9775543","434.7584579"
"2126","1456","OWNS","current","1.21E9","4593760","263.4007872"
"2126","1506","OWNS","current","4.0E8","6608226","60.53061745"
"2126","2123","OWNS","current","1.21E8","2070469","58.44086533"
"2126","2124","OWNS","current","4.78E9","36603757","130.587688"
"2127","28","OWNS","current","7.55E9","42211398","178.861643"
"2127","271","OWNS","current","1.07E10","32644371","327.7747334"
"2127","372","OWNS","current","5.42E9","41721529","129.9089494"
"2127","417","OWNS","current","5.62E8","15624308","35.96959302"
"2127","593","OWNS","current","1.07E8","6592571","16.23039024"
"2127","973","OWNS","current","5.73E9","12609035","454.4360453"
"2127","1456","OWNS","current","5.62E8","2264032","248.229707"
"2127","2123","OWNS","current","3.09E8","5548338","55.69235328"
"2132","28","OWNS","current","2.5E10","145878439","171.3755657"
"2132","271","OWNS","current","2.23E10","70768993","315.1097544"
"2132","372","OWNS","current","1.35E10","106365964","126.9202994"
"2132","417","OWNS","current","9.08E8","25546815","35.54259112"
"2132","593","OWNS","current","1.52E8","9393676","16.18109886"
"2132","973","OWNS","current","1.09E10","24973961","436.4545936"
"2132","1456","OWNS","current","3.36E9","12738213","263.7732624"
"2132","2123","OWNS","current","5.53E8","9467418","58.41085711"
"2134","28","OWNS","current","2.13E10","124152254","171.5635384"
